address,lat,lon,coordinates
"2850 N Sheridan, Chicago, IL",41.9341035,-87.6397409,"(41.9341035, -87.6397409)"
"2828 N Pinegrove, Chicago, IL",41.933607,-87.641754,"(41.933607, -87.641754)"
"426 W Surf, Chicago, IL",41.9347194,-87.6405176,"(41.9347194, -87.6405176)"
"517 W Oakdale, Chicago, IL",41.9352208,-87.6425808,"(41.9352208, -87.6425808)"
"734 W Oakdale, Chicago, IL",41.9356727,-87.6488112,"(41.9356727, -87.6488112)"
"420 W Surf, Chicago, IL",41.9341091,-87.6716788,"(41.9341091, -87.6716788)"
"1036 N Dearborn, Chicago, IL",41.9016939,-87.6303443,"(41.9016939, -87.6303443)"
"18 E Elm, Chicago, IL",41.9034,-87.6280676,"(41.9034, -87.6280676)"
"11 W Division, Chicago, IL",41.9038553,-87.628945,"(41.9038553, -87.628945)"
"25 E Delaware, Chicago, IL",41.899259,-87.6210561,"(41.899259, -87.6210561)"
"211 E Delaware, Chicago, IL",41.8992161,-87.6244358,"(41.8992161, -87.6244358)"
"244 E Pearson, Chicago, IL",41.8975538,-87.6262299,"(41.8975538, -87.6262299)"
"1022 W Dakin, Chicago, IL",41.9536956,-87.6554675,"(41.9536956, -87.6554675)"
"3141 N Sheffield, Chicago, IL",41.9391992,-87.6537361,"(41.9391992, -87.6537361)"
"660 W Barry, Chicago, IL",41.9381787,-87.646723,"(41.9381787, -87.646723)"
"4100 N Marine, Chicago, IL",41.955936,-87.6462775,"(41.955936, -87.6462775)"
"925 W Dakin, Chicago, IL",41.9530795,-87.6896296,"(41.9530795, -87.6896296)"
"3838 N Broadway, Chicago, IL",41.9523929,-87.6498062,"(41.9523929, -87.6498062)"
"3834 N Sheffield, Chicago, IL",41.9521906,-87.6548476,"(41.9521906, -87.6548476)"
"721 W Belmont, Chicago, IL",41.9397328,-87.6477759,"(41.9397328, -87.6477759)"
"443 W Wrightwood, Chicago, IL",41.9289846,-87.6561545,"(41.9289846, -87.6561545)"
"424 W Diversey, Chicago, IL",41.9329923,-87.6399082,"(41.9329923, -87.6399082)"
"839 W Diversey, Chicago, IL",41.9324056,-87.6505979,"(41.9324056, -87.6505979)"
"742 W Fullerton, Chicago, IL",41.9256423,-87.647996,"(41.9256423, -87.647996)"
"2244 N Cleveland, Chicago, IL",41.923301,-87.641745,"(41.923301, -87.641745)"
"482 W Deming, Chicago, IL",41.9289297,-87.6418449,"(41.9289297, -87.6418449)"
"1215 W Diversey, Chicago, IL",41.932265,-87.6797849,"(41.932265, -87.6797849)"
"1157 W Diversey, Chicago, IL",41.9324843,-87.6580912,"(41.9324843, -87.6580912)"
"828 W Fullerton, Chicago, IL",41.9256595,-87.6499448,"(41.9256595, -87.6499448)"
"629 W Deming, Chicago, IL",41.9275133,-87.6452628,"(41.9275133, -87.6452628)"
"451 W Wrightwood, Chicago, IL",41.9304778,-87.6410927,"(41.9304778, -87.6410927)"
"320 N Michigan, Chicago, IL",41.8874214,-87.6250309,"(41.8874214, -87.6250309)"
"1135 W Pratt, Chicago, IL",42.0054725,-87.6598664,"(42.0054725, -87.6598664)"
"1258 W Loyola, Chicago, IL",42.0010144,-87.6611868,"(42.0010144, -87.6611868)"
"6616 N Glenwood, Chicago, IL",42.0023423,-87.6660237,"(42.0023423, -87.6660237)"
"1063 W Columbia, Chicago, IL",42.0043665,-87.6583966,"(42.0043665, -87.6583966)"
"1101 W Columbia, Chicago, IL",42.0043594,-87.6585843,"(42.0043594, -87.6585843)"
"6720 N Sheridan, Chicago, IL",42.0041337,-87.6612401,"(42.0041337, -87.6612401)"
"1246 W Pratt, Chicago, IL",42.0059065,-87.6628878,"(42.0059065, -87.6628878)"
"1331 W Loyola, Chicago, IL",42.0010278,-87.6648082,"(42.0010278, -87.6648082)"
"6710 N Sheridan, Chicago, IL",42.0039911,-87.6609409,"(42.0039911, -87.6609409)"
"6701 N Glenwood, Chicago, IL",42.0036605,-87.6654643,"(42.0036605, -87.6654643)"
"6822 N Wayne, Chicago, IL",42.0062818,-87.665531,"(42.0062818, -87.665531)"
"1837 W Patterson, Chicago, IL",41.9475355,-87.6759416,"(41.9475355, -87.6759416)"
"1632 W Belmont, Chicago, IL",41.9399348,-87.6700658,"(41.9399348, -87.6700658)"
"2051 N Sedgwick, Chicago, IL",41.919771,-87.6385509,"(41.919771, -87.6385509)"
"1939 N Lincoln, Chicago, IL",41.9176623,-87.6373892,"(41.9176623, -87.6373892)"
"2046 N Orleans, Chicago, IL",41.9197654,-87.6380745,"(41.9197654, -87.6380745)"
"180 W Adams, Chicago, IL",41.8795299,-87.6334642,"(41.8795299, -87.6334642)"
"768 W Jackson, Chicago, IL",41.8780337,-87.6469412,"(41.8780337, -87.6469412)"
